genes	logFC	logCPM	F	PValue	FDR
AT5G66720	-144269491.761387	6.61297446263984	2287.78210365416	4.33981576703204e-07	0.00263792591472829
AT1G07480	-144269491.191091	6.04699578175384	1772.08350549291	7.55700485227707e-07	0.00263792591472829
AT3G63260	-144269491.159027	6.01518954388952	1435.50140507332	1.19371149644213e-06	0.00263792591472829
AT1G24360	144269491.568256	6.42363227596808	1387.14237133403	1.28585226162724e-06	0.00263792591472829
AT3G46290	-144269490.078311	4.94953459870643	760.189914887121	4.73535530865733e-06	0.00777166513256841
AT2G08665	1.41566272675171	13.7047288693879	128.679880605201	1.88689903255068e-05	0.0258064891018515
AT4G21770	-144269489.187092	4.08240156579541	335.583563505687	2.76802700295651e-05	0.0324491851232302
AT5G06595	1.48547716275118	5.70887870458527	104.826331194955	3.51194880894586e-05	0.0357944363160517
AT3G04255	1.77201647258095	6.73116189337812	101.021124118462	3.92578511874805e-05	0.0357944363160517
AT1G11330	1.10124417790955	6.34798657982841	87.9848457425011	5.9409522151022e-05	0.046817208777843
AT2G43630	-144269488.555174	3.47892738214374	229.200437225885	6.27576525172159e-05	0.046817208777843
AT5G46280	1.73440533931921	7.29639694890392	82.2310671694195	7.26790677650804e-05	0.0497003691733542
AT1G65970	1.33474050557946	10.8773082161718	77.1674559682934	8.77704328247006e-05	0.0554033978276533
AT1G20490	0.874179741432566	8.16856645985567	70.9954342007996	0.000112278304120575	0.0658111259723882
AT2G01630	0.704173059242118	7.65536537453699	67.8071401240955	0.000128520882529395	0.0703094908024145
AT4G07190	0.686484657426454	10.5784150835463	62.2922622391848	0.000164729201079034	0.0824398725421412
AT5G28300	-1.39585784956751	6.33142402780124	60.7070747313775	0.00017757534364208	0.0824398725421412
AT3G05930	1.1028781922448	7.32351383448708	60.3288968516584	0.000180833256855781	0.0824398725421412
AT2G04040	0.714023201298003	8.05915125792565	58.5755942134346	0.000197009411153666	0.0850873277856306
AT2G18270	0.612923810981758	9.77605376872291	56.2267829280472	0.00022180049758978	0.0910047441610869
AT3G57520	-1.23114474461915	5.75903913226199	53.1218079906697	0.000261277929201899	0.0911666701313838
AT1G08803	1.63714214092634	9.28098317512408	53.0466646687569	0.000262343767407171	0.0911666701313838
AT4G37553	0.607308599715791	9.05676821630134	53.0370894729091	0.000262479993182865	0.0911666701313838
AT1G26220	2.19281862850502	8.43908166893179	55.5174208157389	0.000268263609173493	0.0911666701313838
